FEN,GameNumber,Move,MoveNumber,Side
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,561,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,562,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,563,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,564,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,565,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,566,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,567,d4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,568,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,569,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,570,d4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,571,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,572,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,573,c4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,574,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,575,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,576,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,577,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,578,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,579,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,580,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,581,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,582,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,583,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,584,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,585,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,586,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,587,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,588,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,589,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,590,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,591,c4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,592,c4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,593,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,594,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,595,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,596,e4,1,white
rnbqkbnrpppppppp8886P1PPPPPP1PRNBQKBNR,597,g3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,598,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,599,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,600,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,601,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,602,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,603,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,604,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,605,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,606,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,607,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,608,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,609,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,610,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,611,c4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,612,c4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,613,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,614,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,615,c4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,616,c4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,617,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,618,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,619,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,620,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,621,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,622,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,623,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,624,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,625,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,626,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,627,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,628,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,629,c4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,630,c4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,631,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,632,e4,1,white
rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR,633,c4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,634,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,635,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,636,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,637,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,638,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,639,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,640,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,641,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,642,d4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,643,d4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,644,d4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,645,d4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,646,d4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,647,Nf3,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,648,d4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,649,Nf3,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,650,d4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,651,Nf3,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,652,d4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,653,Nf3,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,654,d4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,655,Nf3,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,656,Nf3,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,657,Nf3,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,658,d4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,659,Nf3,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,660,Nf3,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,661,Nf3,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,662,Nf3,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,663,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,664,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,665,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,666,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,667,Nf3,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,668,d4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,669,Nf3,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,670,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,671,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,672,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,673,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,674,d4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,675,Nf3,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,676,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,677,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,678,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,679,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,680,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,681,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,682,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,683,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,684,e4,1,white
